Match,Date,Team1,Score1,Runs1,Overs1,SuperOver1,SuperOver_Runs1,Team2,Score2,Runs2,Overs2,SuperOver2,SuperOver_Runs2
1,"Sep 19, 2020",MI,162/9,162,20,,,CSK,166/5,166,19.2,,
2,"Sep 20, 2020",DC,157/8,157,20,3/0,3,KXIP,157/8,157,20,2/2,2
3,"Sep 21, 2020",RCB,163/5,163,20,,,SRH,153,153,19.4,,
4,"Sep 22, 2020",RR,216/7,216,20,,,CSK,200/6,200,20,,
5,"Sep 23, 2020",MI,195/5,195,20,,,KKR,146/9,146,20,,
6,"Sep 24, 2020",KXIP,206/3,206,20,,,RCB,109,109,17,,
7,"Sep 25, 2020",DC,175/3,175,20,,,CSK,131/7,131,20,,
8,"Sep 26, 2020",SRH,142/4,142,20,,,KKR,145/3,145,18,,
9,"Sep 27, 2020",KXIP,223/2,223,20,,,RR,226/6,226,19.3,,
10,"Sep 28, 2020",RCB,201/3,201,20,11/0,11,MI,201/5,201,20,7/1,7
11,"Sep 29, 2020",SRH,162/4,162,20,,,DC,147/7,147,20,,
12,"Sep 30, 2020",KKR,174/6,174,20,,,RR,137/9,137,20,,
13,"Oct 1, 2020",MI,191/4,191,20,,,KXIP,143/8,143,20,,
14,"Oct 2, 2020",SRH,164/5,164,20,,,CSK,157/5,157,20,,
15,"Oct 3, 2020",RR,154/6,154,20,,,RCB,158/2,158,19.1,,
16,"Oct 3, 2020",DC,228/4,228,20,,,KKR,210/8,210,20,,
17,"Oct 4, 2020",MI,208/5,208,20,,,SRH,174/7,174,20,,
18,"Oct 4, 2020",KXIP,178/4,178,20,,,CSK,181/0,181,17.4,,
19,"Oct 5, 2020",DC,196/4,196,20,,,RCB,137/9,137,20,,
20,"Oct 6, 2020",MI,193/4,193,20,,,RR,136,136,18.1,,
21,"Oct 7, 2020",KKR,167,167,20,,,CSK,157/5,157,20,,
22,"Oct 8, 2020",SRH,201/6,201,20,,,KXIP,132,132,16.5,,
23,"Oct 9, 2020",DC,184/8,184,20,,,RR,138,138,19.4,,
24,"Oct 10, 2020",KKR,164/6,164,20,,,KXIP,162/5,162,20,,
25,"Oct 10, 2020",RCB,169/4,169,20,,,CSK,132/8,132,20,,
26,"Oct 11, 2020",SRH,158/4,158,20,,,RR,163/5,163,19.5,,
27,"Oct 11, 2020",DC,162/4,162,20,,,MI,166/5,166,19.4,,
28,"Oct 12, 2020",RCB,194/2,194,20,,,KKR,112/9,112,20,,
29,"Oct 13, 2020",CSK,167/6,167,20,,,SRH,147/8,147,20,,
30,"Oct 14, 2020",DC,161/7,161,20,,,RR,148/8,148,20,,
31,"Oct 15, 2020",RCB,171/6,171,20,,,KXIP,177/2,177,20,,
32,"Oct 16, 2020",KKR,148/5,148,20,,,MI,149/2,149,16.5,,
33,"Oct 17, 2020",RR,177/6,177,20,,,RCB,179/3,179,19.4,,
34,"Oct 17, 2020",CSK,179/4,179,20,,,DC,185/5,185,19.5,,
